trial,workers,payload,pgo,jobs,ns_per_job,checksum,synthetic_samples
0,1,small_4KiB,0,250000,488.00999999999999,14039931429751557336,0
0,1,small_4KiB,1,250000,479.96359999999999,14039931429751557336,3906
0,1,eligible_64MiB,0,200000,546.88900000000001,15436029062739928544,0
0,1,eligible_64MiB,1,150000,689.88400000000001,16574749077914713896,150000
0,4,small_4KiB,0,150000,949.88266666666664,16574739012199513896,0
0,4,small_4KiB,1,150000,903.16466666666668,16574739012199513896,2343
0,4,eligible_64MiB,0,150000,897.21600000000001,16574749077914713896,0
0,4,eligible_64MiB,1,100000,1011.788,17456108251467908336,100000
1,1,small_4KiB,1,250000,490.8304,14039931429751557336,3906
1,1,small_4KiB,0,250000,473.78280000000001,14039931429751557336,0
1,1,eligible_64MiB,1,200000,562.36599999999999,15436029062739928544,200000
1,1,eligible_64MiB,0,200000,531.02850000000001,15436029062739928544,0
1,4,small_4KiB,1,150000,924.89066666666668,16574739012199513896,2341
1,4,small_4KiB,0,150000,904.69666666666672,16574739012199513896,0
1,4,eligible_64MiB,1,100000,1096.693,17456108251467908336,100000
1,4,eligible_64MiB,0,100000,1027.2239999999999,17456108251467908336,0
2,1,small_4KiB,0,250000,482.58999999999997,14039931429751557336,0
2,1,small_4KiB,1,250000,484.18880000000001,14039931429751557336,3906
2,1,eligible_64MiB,0,250000,494.75479999999999,14039948205943557336,0
2,1,eligible_64MiB,1,200000,554.45450000000005,15436029062739928544,200000
2,4,small_4KiB,0,150000,798.58733333333328,16574739012199513896,0
2,4,small_4KiB,1,150000,834.10866666666664,16574739012199513896,2342
2,4,eligible_64MiB,0,150000,811.83199999999999,16574749077914713896,0
2,4,eligible_64MiB,1,150000,994.91999999999996,16574749077914713896,150000
3,1,small_4KiB,1,250000,472.5136,14039931429751557336,3906
3,1,small_4KiB,0,250000,481.86360000000002,14039931429751557336,0
3,1,eligible_64MiB,1,200000,594.56500000000005,15436029062739928544,200000
3,1,eligible_64MiB,0,250000,503.46600000000001,14039948205943557336,0
3,4,small_4KiB,1,150000,893.0626666666667,16574739012199513896,2342
3,4,small_4KiB,0,150000,907.63066666666668,16574739012199513896,0
3,4,eligible_64MiB,1,100000,1025.019,17456108251467908336,100000
3,4,eligible_64MiB,0,150000,818.2833333333333,16574749077914713896,0
4,1,small_4KiB,0,250000,480.62040000000002,14039931429751557336,0
4,1,small_4KiB,1,200000,511.50850000000003,15436015641786328544,3125
4,1,eligible_64MiB,0,200000,528.49249999999995,15436029062739928544,0
4,1,eligible_64MiB,1,200000,557.80499999999995,15436029062739928544,200000
4,4,small_4KiB,0,150000,790.26400000000001,16574739012199513896,0
4,4,small_4KiB,1,150000,817.90466666666669,16574739012199513896,2342
4,4,eligible_64MiB,0,150000,840.75733333333335,16574749077914713896,0
4,4,eligible_64MiB,1,100000,1036.3810000000001,17456108251467908336,100000
5,1,small_4KiB,1,200000,535.221,15436015641786328544,3125
5,1,small_4KiB,0,250000,485.31119999999999,14039931429751557336,0
5,1,eligible_64MiB,1,200000,607.34199999999998,15436029062739928544,200000
5,1,eligible_64MiB,0,200000,505.3245,15436029062739928544,0
5,4,small_4KiB,1,150000,811.05333333333328,16574739012199513896,2341
5,4,small_4KiB,0,150000,878.97333333333336,16574739012199513896,0
5,4,eligible_64MiB,1,100000,1031.039,17456108251467908336,100000
5,4,eligible_64MiB,0,150000,818.03599999999994,16574749077914713896,0
6,1,small_4KiB,0,250000,479.88760000000002,14039931429751557336,0
6,1,small_4KiB,1,250000,494.97680000000003,14039931429751557336,3906
6,1,eligible_64MiB,0,250000,485.40640000000002,14039948205943557336,0
6,1,eligible_64MiB,1,200000,544.04499999999996,15436029062739928544,200000
6,4,small_4KiB,0,150000,895.97133333333329,16574739012199513896,0
6,4,small_4KiB,1,150000,866.56533333333334,16574739012199513896,2342
6,4,eligible_64MiB,0,150000,849.34199999999998,16574749077914713896,0
6,4,eligible_64MiB,1,100000,1121.8309999999999,17456108251467908336,100000
