stage,workload,workers,block_mib,trial,warmup,arm,phase,process_ms,verified,hashed,cached,read_bytes,cpu_hashes,gpu_hashes,gpu_setup_ms,calibration_ms,pgo_enabled,pgo_samples,pgo_exploration_jobs,gpu_overflow_jobs,cpu_spill_jobs
prototype,small,4,1,-1,True,new-no-pgo,fresh,1644.4059999193996,True,20000,0,348672000,20000,0,0.0,0.0,0,0,0,0,0
prototype,small,4,1,-1,True,new-no-pgo,cache,554.7400000505149,True,0,20000,0,0,0,0.0,0.0,0,0,0,0,0
prototype,small,4,1,-1,True,new-cpu,fresh,1679.4358000624925,True,20000,0,348672000,20000,0,0.0,0.0,1,311,0,0,0
prototype,small,4,1,-1,True,new-cpu,cache,730.8761000167578,True,0,20000,0,0,0,0.0,0.0,1,0,0,0,0
prototype,small,4,1,-1,True,baseline-auto,fresh,1663.689099950716,True,20000,0,348672000,20000,0,0.0,0.0,,,,0,0
prototype,small,4,1,-1,True,baseline-auto,cache,547.1582999452949,True,0,20000,0,0,0,0.0,0.0,,,,0,0
prototype,small,4,1,-1,True,new-auto,fresh,1599.382899934426,True,20000,0,348672000,20000,0,0.0,0.0,1,311,0,0,0
prototype,small,4,1,-1,True,new-auto,cache,540.6239000149071,True,0,20000,0,0,0,0.0,0.0,1,0,0,0,0
prototype,small,4,1,0,False,new-no-pgo,fresh,1575.235800119117,True,20000,0,348672000,20000,0,0.0,0.0,0,0,0,0,0
prototype,small,4,1,0,False,new-no-pgo,cache,560.349800158292,True,0,20000,0,0,0,0.0,0.0,0,0,0,0,0
prototype,small,4,1,0,False,new-cpu,fresh,1582.4984998907894,True,20000,0,348672000,20000,0,0.0,0.0,1,311,0,0,0
prototype,small,4,1,0,False,new-cpu,cache,546.2068999186158,True,0,20000,0,0,0,0.0,0.0,1,0,0,0,0
prototype,small,4,1,0,False,baseline-auto,fresh,1559.8770000506192,True,20000,0,348672000,20000,0,0.0,0.0,,,,0,0
prototype,small,4,1,0,False,baseline-auto,cache,526.8920999951661,True,0,20000,0,0,0,0.0,0.0,,,,0,0
prototype,small,4,1,0,False,new-auto,fresh,1622.6941999047995,True,20000,0,348672000,20000,0,0.0,0.0,1,310,0,0,0
prototype,small,4,1,0,False,new-auto,cache,552.9966000467539,True,0,20000,0,0,0,0.0,0.0,1,0,0,0,0
prototype,small,4,1,1,False,new-cpu,fresh,1588.4242001920938,True,20000,0,348672000,20000,0,0.0,0.0,1,310,0,0,0
prototype,small,4,1,1,False,new-cpu,cache,541.7655999772251,True,0,20000,0,0,0,0.0,0.0,1,0,0,0,0
prototype,small,4,1,1,False,baseline-auto,fresh,1596.0379999596626,True,20000,0,348672000,20000,0,0.0,0.0,,,,0,0
prototype,small,4,1,1,False,baseline-auto,cache,529.7785999719054,True,0,20000,0,0,0,0.0,0.0,,,,0,0
prototype,small,4,1,1,False,new-auto,fresh,1553.3872998785228,True,20000,0,348672000,20000,0,0.0,0.0,1,310,0,0,0
prototype,small,4,1,1,False,new-auto,cache,529.9442000687122,True,0,20000,0,0,0,0.0,0.0,1,0,0,0,0
