campaign,worker_count,version,backend,trial,process_ms,pipeline_ms,hash_work_ms,setup_sum_ms,gpu_hashes,gpu_peak,cold_start_cpu_sum,verified,binarysha
unified-w1,1,baseline,no-pgo,0,1946.1433999240398,1902.901,2010.383,75.847,8,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w1,1,new,no-pgo,0,2079.8371999990195,2037.11,1909.48,71.396,16,1,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w1,1,new,cpu,0,2117.8491001483053,2097.559,2041.517,0.0,0,0,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w1,1,baseline,cpu,0,2126.2497999705374,2104.166,2049.623,0.0,0,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w1,1,baseline,auto,0,1951.2314999010414,1908.002,2010.596,87.567,8,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w1,1,new,auto,0,2123.9704000763595,2080.357,1953.477,71.201,15,1,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w1,1,baseline,auto,1,1953.2083000522107,1895.147,2026.785,81.816,9,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w1,1,baseline,cpu,1,2132.642899872735,2109.315,2055.847,0.0,0,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w1,1,new,cpu,1,2132.416900014505,2110.645,2053.108,0.0,0,0,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w1,1,new,auto,1,2139.4927999936044,2094.035,1941.574,96.689,15,1,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w1,1,new,no-pgo,1,2163.2719999179244,2119.218,1967.979,94.599,16,1,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w1,1,baseline,no-pgo,1,1964.1915000975132,1917.667,2035.875,95.731,8,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w1,1,baseline,auto,2,1925.3084999509156,1882.966,2002.893,85.036,9,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w1,1,new,auto,2,2144.158900016919,2097.869,1960.139,83.805,15,1,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w1,1,new,no-pgo,2,2139.342400012538,2093.267,1929.495,109.312,16,1,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w1,1,baseline,cpu,2,2144.099799916148,2121.609,2066.726,0.0,0,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w1,1,new,cpu,2,2142.8686999715865,2120.869,2064.98,0.0,0,0,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w1,1,baseline,no-pgo,2,1912.0263999793679,1862.65,2039.87,109.489,12,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w1,1,baseline,cpu,3,2192.9216999560595,2171.745,2115.789,0.0,0,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w1,1,new,no-pgo,3,2164.291299879551,2111.227,1952.292,101.974,16,1,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w1,1,new,cpu,3,2168.7825999688357,2146.471,2089.491,0.0,0,0,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w1,1,new,auto,3,2195.5559998750687,2145.434,1954.888,135.748,15,1,0,True,3353422a0d76f572e7531356ee13230e4bea4596219ed94bf7c9a32ab5d35880
unified-w1,1,baseline,auto,3,2035.0204000715166,1991.088,2125.965,95.62,9,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
unified-w1,1,baseline,no-pgo,3,1906.460199970752,1858.124,2029.681,86.793,11,,0,True,d58a491a7a47194ed771316f03b843cc98d2b4ffdee0321545b76a810db4010d
